,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
10,013507.OF,华安制造先锋C,华安基金,中国银行,混合型,20210906,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210906,20210906,O
11,010965.OF,中银鑫新消费成长A,中银基金,兴业银行,混合型,20210906,,,20210816,,4.7157,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
12,013221.OF,中欧新兴价值一年持有C,中欧基金,平安银行,混合型,20210906,,,20210826,,17.2602,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
13,013442.OF,建信中证1000指数增强E,建信基金,浦发银行,股票型,20210906,,,,,,1.0,0.2,,1.0,,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210906,20210906,O
14,013086.OF,申万菱信乐同C,申万菱信基金,中国工商银行,混合型,20210906,,,20210820,,1.7238,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
15,013505.OF,华安新丝路主题C,华安基金,中国银行,股票型,20210906,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*80%+中国债券总指数收益率*20%,L,股票型,契约型开放式,,20210906,20210906,O
16,013483.OF,华安医疗创新C,华安基金,中国银行,混合型,20210906,,,,,,1.5,0.25,,1.0,,,中证医药卫生指数收益率*70%+中债综合全价指数收益率*20%+恒生医疗保健指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20210906,20210906,O
17,013443.OF,建信创业板ETF联接E,建信基金,中国银河,股票型,20210906,,,,,,0.5,0.1,,1.0,,,创业板指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210906,20210906,O
18,013444.OF,建信上证50ETF联接E,建信基金,中国银河,股票型,20210906,,,,,,0.5,0.1,,1.0,,,上证50指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210906,20210906,O
19,013220.OF,中欧新兴价值一年持有A,中欧基金,平安银行,混合型,20210906,,,20210826,,35.8292,1.5,0.25,,1.0,0.0001,,中证500指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,L,混合型,契约型开放式,,,,O
20,010962.OF,中银鑫新消费成长C,中银基金,兴业银行,混合型,20210906,,,20210816,,1.1348,1.5,0.25,,1.0,0.001,,沪深300指数收益率*70%+中债综合全价(总值)指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
21,011782.OF,泓德慧享C,泓德基金,中国邮政储蓄银行,混合型,20210906,,,20210830,,1.0003,0.8,0.2,,1.0,0.01,,中国债券综合全价指数收益率*85%+中证800指数收益率*10%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,,,O
22,013504.OF,华安双核驱动C,华安基金,中国银行,混合型,20210906,,,,,,1.5,0.25,,1.0,,,中证800指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210906,20210906,O
23,011051.OF,天弘裕新C,天弘基金,中国邮政储蓄银行,混合型,20210903,,,20210602,,0.8419,0.6,0.16,,1.0,0.001,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,,,,O
24,013027.OF,银华富久食品饮料精选C,银华基金,中国工商银行,混合型,20210903,,,20210818,,1.2667,1.5,0.25,,1.0,0.001,,中证食品饮料指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+商业银行人民币活期存款利率(税后)*10%,L,混合型,契约型开放式,,,,O
25,013488.OF,长信多利C,长信基金,交通银行,混合型,20210903,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率(使用估值汇率折算)*10%,L,灵活配置型,契约型开放式,,20210903,20210906,O
26,501209.OF,银华富久食品饮料精选A,银华基金,中国工商银行,混合型,20210903,,,20210818,,13.3274,1.5,0.25,,1.0,0.001,,中证食品饮料指数收益率*80%+中证港股通综合指数(人民币)收益率*10%+商业银行人民币活期存款利率(税后)*10%,L,混合型,契约型开放式,,,,O
27,013489.OF,广发东财大数据精选C,广发基金,中国建设银行,混合型,20210903,,,,,,1.0,0.15,,1.0,,,中证全指指数收益率*50%+中证全债指数收益率*50%,L,灵活配置型,契约型开放式,,20210903,20210906,O
28,516210.OF,华安中证银行ETF,华安基金,中国银行,股票型,20210903,,,20210802,,3.6163,0.5,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,,,O
29,013516.OF,汇添富蓝筹稳健E,汇添富基金,中国工商银行,混合型,20210903,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20210903,20210903,O
30,011050.OF,天弘裕新A,天弘基金,中国邮政储蓄银行,混合型,20210903,,,20210602,,3.6869,0.6,0.16,,1.0,0.001,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(使用估值汇率调整)*5%,L,混合型,契约型开放式,,,,O
31,013515.OF,汇添富蓝筹稳健C,汇添富基金,中国工商银行,混合型,20210903,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*60%+上证国债指数收益率*40%,L,灵活配置型,契约型开放式,,20210903,20210903,O
32,011569.OF,鹏华产业升级C,鹏华基金,宁波银行,混合型,20210902,,,20210816,,0.811,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),L,混合型,契约型开放式,,,,O
33,013468.OF,长盛盛康纯债D,长盛基金,交通银行,债券型,20210902,,,,,,0.3,0.08,,1.0,,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,20210902,20210903,O
34,011983.OF,永赢中债-3-5年政策性金融债A,永赢基金,中国邮政储蓄银行,债券型,20210902,,,20210813,,2.0,0.15,0.05,,1.0,0.0001,,中债-3-5年政策性金融债指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
35,011974.OF,新华中债1-5年农发行C,新华基金,兴业银行,债券型,20210902,,,20210723,,0.0,0.15,0.05,,1.0,0.0001,,中债-1-5年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
36,011568.OF,鹏华产业升级A,鹏华基金,宁波银行,混合型,20210902,,,20210816,,26.5714,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率*10%(经汇率估值调整),L,混合型,契约型开放式,,,,O
37,011973.OF,新华中债1-5年农发行A,新华基金,兴业银行,债券型,20210902,,,20210723,,50.001,0.15,0.05,,1.0,0.0001,,中债-1-5年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
38,013456.OF,长盛安逸纯债D,长盛基金,中国银行,债券型,20210902,,,,,,0.6,0.2,,1.0,,,中债综合指数(全价)收益率,L,债券型,契约型开放式,,20210902,20210903,O
39,011079.OF,嘉实致泓一年定开,嘉实基金,浙商银行,债券型,20210902,,,20210602,,2.1,0.3,0.1,,1.0,,,中债综合全价指数收益率,L,债券型,契约型开放式,,,,O
40,011984.OF,永赢中债-3-5年政策性金融债C,永赢基金,中国邮政储蓄银行,债券型,20210902,,,20210813,,0.0,0.15,0.05,,1.0,0.0001,,中债-3-5年政策性金融债指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
41,013484.OF,长城行业轮动C,长城基金,中国建设银行,混合型,20210902,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*55%+中债总财富指数收益率*45%,L,灵活配置型,契约型开放式,,20210902,20210903,O
42,970071.OF,第一创业创享纯债,第一创业,中国工商银行,债券型,20210902,,,20210902,,,0.5,0.14,,1.0,,,中债综合指数收益率*95%+1年期定期存款利率(税后)*5%,L,债券型,契约型开放式,,20210907,20210907,O
43,012793.OF,长城科创板两年定开C,长城基金,中国农业银行,混合型,20210901,,,20210804,,0.1418,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
44,012667.OF,中融景泓一年持有A,中融基金,中国农业银行,混合型,20210901,,,20210816,,6.817,0.6,0.2,,1.0,0.0001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
45,012668.OF,中融景泓一年持有C,中融基金,中国农业银行,混合型,20210901,,,20210816,,1.3491,0.6,0.2,,1.0,0.0001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
46,506008.OF,长城科创板两年定开A,长城基金,中国农业银行,混合型,20210901,,,20210804,,4.1192,1.5,0.25,,1.0,0.0001,,中国战略新兴产业成份指数收益率*65%+中债总指数收益率*25%+中证港股通综合指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
47,012072.OF,中加喜利回报一年持有C,中加基金,中国光大银行,混合型,20210901,,,20210816,,2.8162,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+1年期定期存款利率(税后)*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
48,013105.OF,华安中证光伏产业A,华安基金,中国建设银行,股票型,20210901,,,20210823,,0.2264,0.5,0.1,,1.0,0.0001,,中证光伏产业指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
49,012071.OF,中加喜利回报一年持有A,中加基金,中国光大银行,混合型,20210901,,,20210816,,2.5187,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+1年期定期存款利率(税后)*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,,,O
50,013437.OF,财通资管中证有色金属A,财通证券资管,中国农业银行,股票型,20210901,,,20210830,,0.103,0.2,0.1,,1.0,0.001,,中证有色金属指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210908,20210908,O
51,013198.OF,南方季季享90天滚动持有A,南方基金,交通银行,债券型,20210901,,,20210818,,0.9454,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
52,013438.OF,财通资管中证有色金属C,财通证券资管,中国农业银行,股票型,20210901,,,20210830,,0.0135,0.2,0.1,,1.0,0.001,,中证有色金属指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210908,20210908,O
53,013199.OF,南方季季享90天滚动持有C,南方基金,交通银行,债券型,20210901,,,20210818,,1.3188,0.2,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
54,013281.OF,国泰君安30天滚动持有中短债A,国泰君安资管,上海银行,债券型,20210901,,,20210825,,2.4524,0.2,0.05,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,20210906,,O
55,013106.OF,华安中证光伏产业C,华安基金,中国建设银行,股票型,20210901,,,20210823,,0.7043,0.5,0.1,,1.0,0.0001,,中证光伏产业指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
56,012598.OF,华安国证生物医药A,华安基金,招商银行,股票型,20210901,,,20210819,,0.1876,0.5,0.1,,1.0,0.0001,,国证生物医药指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
57,012681.OF,永赢鑫辰A,永赢基金,华夏银行,混合型,20210901,,,20210719,,2.02,0.4,0.1,,1.0,0.001,,中债-综合指数(全价)收益率*70%+沪深300指数收益率*25%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20210903,20210903,O
58,013282.OF,国泰君安30天滚动持有中短债C,国泰君安资管,上海银行,债券型,20210901,,,20210825,,3.4247,0.2,0.05,,1.0,0.0001,,中债综合财富(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,20210906,,O
59,012599.OF,华安国证生物医药C,华安基金,招商银行,股票型,20210901,,,20210819,,0.0217,0.5,0.1,,1.0,0.0001,,国证生物医药指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
60,008317.OF,光大保德信睿盈,光大保德信基金,招商银行,混合型,20210901,,,20210816,,19.3266,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*55%+中债综合财富(总值)指数收益率*25%+恒生指数收益率*20%,L,混合型,契约型开放式,,,,O
61,012682.OF,永赢鑫辰C,永赢基金,华夏银行,混合型,20210901,,,20210719,,0.2003,0.4,0.1,,1.0,0.001,,中债-综合指数(全价)收益率*70%+沪深300指数收益率*25%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20210903,20210903,O
62,012987.OF,嘉合锦明A,嘉合基金,平安银行,混合型,20210901,,,20210816,,3.1807,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
63,012988.OF,嘉合锦明C,嘉合基金,平安银行,混合型,20210901,,,20210816,,4.9221,1.5,0.25,,1.0,0.001,,沪深300指数收益率*50%+中债综合指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,,,O
64,012402.OF,天弘中证医药指数增强C,天弘基金,招商银行,股票型,20210831,,,20210816,,1.758,0.6,0.1,,1.0,0.0001,,中证医药主题指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210906,20210906,O
65,013050.OF,兴业能源革新C,兴业基金,招商银行,股票型,20210831,,,20210816,,5.6721,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,股票型,契约型开放式,,,,O
66,013006.OF,上投摩根景气甄选A,上投摩根基金,中国银行,混合型,20210831,,,20210811,,34.2411,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,,,O
67,012401.OF,天弘中证医药指数增强A,天弘基金,招商银行,股票型,20210831,,,20210816,,0.5148,0.6,0.1,,1.0,0.0001,,中证医药主题指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20210906,20210906,O
68,013141.OF,中信保诚弘远,中信保诚基金,中信银行,混合型,20210831,,,20210819,,27.5234,1.5,0.25,,1.0,0.0001,,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,,,O
69,013526.OF,信诚新兴产业C,中信保诚基金,中国银行,混合型,20210831,,,,,,1.5,0.25,,1.0,,,中证新兴产业指数收益率*80%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,20210831,20210901,O
70,013066.OF,国泰利泽90天滚动持有C,国泰基金,招商银行,债券型,20210831,,,20210816,,2.2243,0.2,0.05,,1.0,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,,,O
71,012852.OF,嘉实远见先锋一年持有A,嘉实基金,中国工商银行,混合型,20210831,,,20210816,,28.6139,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,,,O
72,012768.OF,华夏中证动漫游戏ETF联接A,华夏基金,中国民生银行,股票型,20210831,,,20210809,,0.1147,0.5,0.1,,1.0,0.0001,,中证动漫游戏指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
73,012299.OF,浦银安盛安裕回报一年持有A,浦银安盛基金,中国邮政储蓄银行,混合型,20210831,,,20210812,,10.297,1.0,0.2,,1.0,,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
74,011691.OF,招商品质发现C,招商基金,中国农业银行,混合型,20210831,,,20210816,,0.2138,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,,,O
75,013028.OF,恒越品质生活,恒越基金,中国建设银行,混合型,20210831,,,20210816,,1.6754,1.5,0.2,,1.0,0.001,,中证消费服务领先指数收益率*55%+中债总指数(全价)收益率*25%+中证香港100指数收益率*20%,L,混合型,契约型开放式,,20210908,20210908,O
76,012294.OF,泰康优势精选三年持有期,泰康资产,招商银行,混合型,20210831,,,20210816,,5.9225,1.5,0.25,,1.0,0.001,,沪深300指数收益率*65%+中债新综合全价(总值)指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,,,O
77,012346.OF,易方达港股通成长A,易方达基金,中国工商银行,混合型,20210831,,,20210825,,24.0828,1.5,0.25,,1.0,0.0001,,中证港股通综合指数收益率*70%+中证500指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,,,O
78,012853.OF,嘉实远见先锋一年持有C,嘉实基金,中国工商银行,混合型,20210831,,,20210816,,2.0555,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中债综合财富指数收益率*20%+恒生指数收益率*15%,L,混合型,契约型开放式,,,,O
79,012300.OF,浦银安盛安裕回报一年持有C,浦银安盛基金,中国邮政储蓄银行,混合型,20210831,,,20210812,,0.2266,1.0,0.2,,1.0,,,中证全债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,,,O
80,012347.OF,易方达港股通成长C,易方达基金,中国工商银行,混合型,20210831,,,20210825,,6.2421,1.5,0.25,,1.0,0.0001,,中证港股通综合指数收益率*70%+中证500指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,,,O
81,013410.OF,博时裕隆C,博时基金,中国农业银行,混合型,20210831,,,,,,1.5,0.25,,1.0,,,沪深300指数收益率*75%+中证全债指数收益率*25%,L,灵活配置型,契约型开放式,,20210831,20210831,O
82,013065.OF,国泰利泽90天滚动持有A,国泰基金,招商银行,债券型,20210831,,,20210816,,0.2637,0.2,0.05,,1.0,0.0001,,中债总财富(1-3年)指数收益率*80%+一年期定期存款基准利率(税后)*20%,L,债券型,契约型开放式,,,,O
83,013007.OF,上投摩根景气甄选C,上投摩根基金,中国银行,混合型,20210831,,,20210811,,1.893,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,,,O
84,012272.OF,渤海汇金创新价值一年持有,渤海汇金资管,浙商银行,混合型,20210831,,,20210809,,1.3396,1.5,0.3,,1.0,0.001,,中证500指数收益率*75%+中债综合全价(总值)指数收益率*25%,L,混合型,契约型开放式,,,,O
85,012769.OF,华夏中证动漫游戏ETF联接C,华夏基金,中国民生银行,股票型,20210831,,,20210809,,0.0422,0.5,0.1,,1.0,0.0001,,中证动漫游戏指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
86,011690.OF,招商品质发现A,招商基金,中国农业银行,混合型,20210831,,,20210816,,9.6085,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,,,O
87,013049.OF,兴业能源革新A,兴业基金,招商银行,股票型,20210831,,,20210816,,6.7377,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中证全债指数收益率*20%,L,股票型,契约型开放式,,,,O
88,012497.OF,同泰行业优选C,同泰基金,中国民生银行,股票型,20210830,,,20210809,,0.5998,1.5,0.2,,1.0,0.001,,沪深300指数收益率*75%+中债综合全价(总值)指数收益率*15%+恒生综合指数收益率*10%,L,股票型,契约型开放式,,,,O
89,012478.OF,富国匠心精选12个月持有C,富国基金,中国工商银行,混合型,20210830,,,20210813,,0.9382,1.5,0.25,,1.0,0.001,,中证500指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
90,013022.OF,博时养老目标日期2040五年持有期,博时基金,中国邮政储蓄银行,混合型,20210830,,,20210719,,0.1295,0.6,0.15,,1.0,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,,,O
91,012526.OF,广发盛锦A,广发基金,北京银行,混合型,20210830,,,20210816,,39.9949,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,,,O
92,012477.OF,富国匠心精选12个月持有A,富国基金,中国工商银行,混合型,20210830,,,20210813,,14.1928,1.5,0.25,,1.0,0.001,,中证500指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,,,O
93,970023.OF,天风天盈一年定开,天风资管,中信银行,混合型,20210830,,,20210830,,,1.5,0.08,,1.0,,,中债综合财富指数收益率*50%+中证全指指数收益率*40%+恒生指数收益率*10%,L,混合型,契约型开放式,,20210830,,O
94,012496.OF,同泰行业优选A,同泰基金,中国民生银行,股票型,20210830,,,20210809,,1.499,1.5,0.2,,1.0,0.001,,沪深300指数收益率*75%+中债综合全价(总值)指数收益率*15%+恒生综合指数收益率*10%,L,股票型,契约型开放式,,,,O
95,012527.OF,广发盛锦C,广发基金,北京银行,混合型,20210830,,,20210816,,2.8224,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,,,O
96,013061.OF,博时养老目标日期2050五年持有期,博时基金,中国建设银行,混合型,20210830,,,20210719,,0.1448,0.8,0.15,,1.0,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,,,O
97,013043.OF,博时养老目标日期2045五年持有期,博时基金,招商银行,混合型,20210830,,,20210719,,0.1078,0.6,0.15,,1.0,0.001,,沪深300指数收益率*70%+中债综合财富(总值)指数收益率*30%,L,混合型,契约型开放式,,,,O
98,865040.OF,光大阳光北斗星180天滚动A,光证资管,中国光大银行,债券型,20210830,,,20210830,,,0.3,0.1,,1.0,,,中债综合指数收益率*90%+沪深300指数收益率*5%+中证港股通综合指数(人民币)收益率*5%,L,债券型,契约型开放式,,20210830,20210830,O
99,860051.OF,光大阳光北斗星180天滚动C,光证资管,中国光大银行,债券型,20210830,,,,,,0.3,0.1,,1.0,,,中债综合指数收益率*90%+沪深300指数收益率*5%+中证港股通综合指数(人民币)收益率*5%,L,债券型,契约型开放式,,20210830,20210830,O
100,013449.OF,广发景宁纯债C,广发基金,中国工商银行,债券型,20210830,,,,,,0.3,0.05,,1.0,,,中债综合财富(总值)指数收益率*90%+银行一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20210830,20210831,O
101,013413.OF,交银中证环境治理C,交银施罗德基金,中信银行,股票型,20210827,,,,,,1.0,0.2,,1.0,,,中证环境治理指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210827,20210830,O
102,013196.OF,招商中证新能源汽车C,招商基金,浙商银行,股票型,20210827,,,20210812,,2.1684,1.0,0.2,,1.0,0.0001,,中证新能源汽车指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210903,20210903,O
103,012996.OF,博时养老目标日期2035三年持有期,博时基金,中信银行,混合型,20210827,,,20210719,,0.1472,0.6,0.1,,1.0,0.001,,沪深300指数收益率*50%+中债综合财富(总值)指数收益率*50%,L,混合型,契约型开放式,,,,O
104,560560.OF,泰康中证内地低碳经济主题ETF,泰康资产,广发证券,股票型,20210827,,,20210809,,4.9319,0.5,0.1,,1.0,0.1,,中证内地低碳经济主题指数收益率,L,被动指数型,契约型开放式,,,,O
105,013195.OF,招商中证新能源汽车A,招商基金,浙商银行,股票型,20210827,,,20210812,,0.468,1.0,0.2,,1.0,0.0001,,中证新能源汽车指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210903,20210903,O
106,012827.OF,工银瑞信聚宁9个月持有C,工银瑞信基金,招商银行,混合型,20210827,,,20210816,,0.8513,0.5,0.15,,1.0,0.0001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
107,970043.OF,东吴裕盈一年持有期A,东吴证券,交通银行,混合型,20210827,,,20210827,,,0.6,0.2,,1.0,,,中证500指数收益率*60%+中债总指数收益率*40%,L,灵活配置型,契约型开放式,,20210830,20210831,O
